Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
A037;Masa tarta o empanadas;gramos;1;19,7;455,6;5,7;30,8;7,674;13,5;8,119;0;38,9;3,4;1,5;482;59;9;60;2,57;0,39;2,94;10;0;0,348;0,246;0;0;0
A038;Masa de pizza;gramos;1;42,86;214,62;6,18;3,82;0,324;0,647;1,565;0;38,88;2,76;2,36;750;105,6;6,6;102,6;2,6;1,08;1,76;226,9;0;0,491;0,124;0;0;0
A039;Ñoquis de papa;gramos;1;48,45;196,68;6,47;2,12;0,363;0,395;0,288;40;37,93;2,87;0,61;17,94;329;26,82;125;1,18;1,08;1,72;21,58;11,43;0,168;0,108;0,058;0;0
A040;Pan de Centeno;gramos;1;37,3;233,7;8,5;3,3;0,626;1,311;0,799;0;42,5;5,8;2,5;660;166;73;125;2,83;1,14;3,81;51;0;0,434;0,335;0;0;0
A041;Pan frances;gramos;1;29,8;256,3;8,4;0,7;0,147;0,279;0,159;0;54,1;2,8;1,4;136;175;19;136;3,33;1,8;3,3;318,6;0;0,732;0,382;0;0;0
A042;Pan de Gluten;gramos;1;40;231,4;12,1;2,2;0,332;0,183;1,009;0;40,8;3;1,9;547;322;124;185;4,15;1,82;4,29;35;0;0,36;0,394;0;0;0
A043;Pan de maiz;gramos;1;39,1;252,7;6,7;7,1;1,555;1,83;3,206;40;40,5;3;3,6;658;147;249;169;2,5;0,6;2,25;19;83;0,291;0,294;0,15;0;0
A044;Pan de miga;gramos;1;29,8;256,3;8,4;0,7;0,147;0,279;0,159;0;54,1;2,8;1,4;136;175;19;136;3,33;1,8;3,3;318,6;0;0,732;0,382;0;0;0
A045;Pan de salvado;gramos;1;35;223,2;9,8;1,6;0,366;0,76;0,305;0;42,4;9,2;2;112;338;68;209;1,2;1,46;4,75;27;0;0,429;0,31;0;0;0
A046;Pan de viena;gramos;1;24,7;298,06;9,8;1,9;0,44;0,37;0,17;0;60,44;2,16;1;71;132;39;157;1,2;1,21;6,6;43;0;0,723;0,457;0;0;0
A047;Pan lactal;gramos;1;34,8;260,6;7,7;2,6;0,391;0,527;1,401;0;51,6;2;1,3;336;111;32;96;3,18;0,59;3,73;27;12;0,431;0,352;0,02;0;0
A048;Pan Lactal con salvado;gramos;1;37,7;233,4;9,7;4,2;0,917;1,68;1,003;0;39,2;6,9;2,3;527;252;72;229;3,3;1,94;3,84;50;0;0,351;0,205;0,01;0;0
A049;Pan negro sin levadura;gramos;1;32,2;235,16;9,6;0,6;0,132;0,275;0,11;0;47,84;8,46;1,3;45;214;24;210;2,3;1,38;5,18;29,4;0;0,467;0,34;0;0;0
A050;Pan rallado;gramos;1;6,51;371,02;13,35;5,3;1,203;1,023;2,06;0;67,48;4,5;2,86;732;196;183;165;7,78;1,45;7,9;392;0;1,587;0,533;0,35;0;0
A051;Porotos;gramos;1;11,95;303,14;23,52;1,26;0,331;0,106;0,542;0;49,43;10,6;3,24;16;1112;110;424;8,27;3,37;2,08;633;3;0,853;0,226;0;0;0
A052;Porotos de soja;gramos;1;8,54;408,86;36,49;19,94;2,884;4,404;11,255;0;20,86;9,3;4,87;2;1797;277;704;15,7;4,89;1,62;375;0;0,874;0,87;0;0;0
